,zone,mean,std,min,max,var,time,spectral_index
17,17,-0.35020244482791785,0.015255304960650752,-0.38602522015571594,-0.32594236731529236,0.00023272432944245546,2021-03-16 04:56:59.024,NDWI
18,18,-0.3227270070244284,0.019425419992552772,-0.36782607436180115,-0.2930693030357361,0.00037734694188706897,2021-03-16 04:56:59.024,NDWI
19,19,-0.33973208340731537,0.024247556628426505,-0.38682714104652405,-0.3038724362850189,0.0005879440024487502,2021-03-16 04:56:59.024,NDWI
20,20,-0.3891415023803711,0.007653009496065114,-0.40526819229125977,-0.3732074201107025,5.856855434686281e-05,2021-03-16 04:56:59.024,NDWI
21,21,-0.37272896486170154,0.04154025744034761,-0.41983696818351746,-0.2954091727733612,0.0017255929882103547,2021-03-16 04:56:59.024,NDWI
22,22,-0.3156061513083322,0.033038900157968704,-0.37418514490127563,-0.2755986154079437,0.0010915689236482245,2021-03-16 04:56:59.024,NDWI
0,0,-0.09694090751007996,0.34720341960300094,-0.9993144273757935,0.9979252815246582,0.12055021458401755,2021-03-26 04:56:59.024,NDWI
1,1,-0.22396793365478515,0.0639658875517033,-0.4304932653903961,-0.15125000476837158,0.0040916347702771505,2021-03-26 04:56:59.024,NDWI
2,2,-0.2269523794000799,0.01868356689033063,-0.26991674304008484,-0.19044700264930725,0.00034907567174545897,2021-03-26 04:56:59.024,NDWI
3,3,-0.25700176329839797,0.03734859700995435,-0.3397761583328247,-0.17484275996685028,0.0013949176986119706,2021-03-26 04:56:59.024,NDWI
4,4,-0.24888217143523386,0.029405868096136288,-0.3279002904891968,-0.19055843353271484,0.000864705078487366,2021-03-26 04:56:59.024,NDWI
5,5,-0.20615235770620952,0.02086141499054818,-0.25313806533813477,-0.1645287126302719,0.0004351986354078684,2021-03-26 04:56:59.024,NDWI
6,6,-0.22560062408447265,0.041998452100744946,-0.3296796381473541,-0.1679389327764511,0.0017638699788585677,2021-03-26 04:56:59.024,NDWI
7,7,-0.2686938331240699,0.05239348738802992,-0.3981787860393524,-0.2109617292881012,0.0027450775206796507,2021-03-26 04:56:59.024,NDWI
8,8,-0.2433072566986084,0.049782243826930556,-0.3759046196937561,-0.19611206650733948,0.0024782718004439652,2021-03-26 04:56:59.024,NDWI
9,9,-0.18783581884283768,0.017766030834135138,-0.23092782497406006,-0.14958903193473816,0.0003156318515994405,2021-03-26 04:56:59.024,NDWI
10,10,-0.21530327796936036,0.04419867272505461,-0.31296300888061523,-0.1594991683959961,0.001953522670656486,2021-03-26 04:56:59.024,NDWI
11,11,-0.1827658244541713,0.0395247519167736,-0.2978617548942566,-0.11981828510761261,0.001562206014082498,2021-03-26 04:56:59.024,NDWI
12,12,-0.17053329376947313,0.019845487990100743,-0.21601803600788116,-0.1401021033525467,0.00039384339356523287,2021-03-26 04:56:59.024,NDWI
13,13,-0.21050843738374256,0.03282679462520849,-0.30528369545936584,-0.1643192321062088,0.0010775984453656171,2021-03-26 04:56:59.024,NDWI
14,14,-0.26157283782958984,0.043698456106017136,-0.38005921244621277,-0.20620845258235931,0.0019095550660495064,2021-03-26 04:56:59.024,NDWI
15,15,-0.22226576805114745,0.03206698877826335,-0.29374784231185913,-0.1552894115447998,0.0010282917693052672,2021-03-26 04:56:59.024,NDWI
16,16,-0.19581689834594726,0.018396618308800416,-0.23668637871742249,-0.1661720722913742,0.00033843556519969065,2021-03-26 04:56:59.024,NDWI
17,17,-0.2154092788696289,0.03502427463942145,-0.2894737124443054,-0.16388468444347382,0.0012266998140176204,2021-03-26 04:56:59.024,NDWI
